reviewTime,unixReviewTime,reviewerID,image,asin,reviewText,style,overall,summary,reviewerName,vote,verified
"10 20, 2014",1413763200,A1D4G1SNUZWQOT,,7106116521,Exactly what I needed.,,5,perfect replacements!!,Tracy,,TRUE
"09 28, 2014",1411862400,A3DDWDH9PX2YX2,,7106116521,"I agree with the other review, the opening is too small.  I almost bent the hook on some very expensive earrings trying to get these up higher than just the end so they're not seen.  Would not buy again but for the price, not sending back.",,2,"I agree with the other review, the opening is ...",Sonja Lau,3,TRUE
"08 25, 2014",1408924800,A2MWC41EW7XL15,,7106116521,Love these... I am going to order another pack to keep in work; someone (including myself) is always losing the back to an earring.  I don't understand why all fish hook earrings don't have them.  Just wish that they were a tiny bit longer.  :),,4,My New 'Friends' !!,Kathleen,,FALSE
"08 24, 2014",1408838400,A2UH2QQ275NV45,,7106116521,too tiny an opening,,2,Two Stars,Jodi Stoner,,TRUE
"07 27, 2014",1406419200,A89F3LQADZBS5,,7106116521,Okay,,3,Three Stars,Alexander D.,,FALSE
"07 19, 2014",1405728000,A29HLOUW0NS0EH,,7106116521,Exactly what I wanted.,,5,Five Stars,Patricia R. Erwin,,TRUE
"05 31, 2014",1401494400,A7QS961ROI6E0,,7106116521,"These little plastic backs work great.  No more loosing ""hook"" earrings!  Wish I had ordered these sooner before I had lost some of my favorite earrings!",,4,Works great!,REBECCA S LAYTON,,TRUE
"09 22, 2013",1379808000,A1BB77SEBQT8VX,,B00007GDFV,mother - in - law wanted it as a present for her sister. she liked it and said it would work.,{'Color:': ' Black'},3,bought as a present,Darrow H Ankrum II,,TRUE
"07 17, 2013",1374019200,AHWOW7D1ABO9C,,B00007GDFV,"Item is of good quality. Looks great, too. But it does not fit 100's! But it can be stretched to fit them if you carefully push bottom of case with your fingers. Then shove in a pack of 100's(max) and level it out as you close case stretching case closed. Leave a pk.in it for month or so & was la! Buxton is usually a good quality product!",{'Color:': ' Black'},3,Buxton heiress collection,rosieO,,TRUE
"04 13, 2013",1365811200,AKS3GULZE0HFC,,B00007GDFV,"I had used my last el-cheapo fake leather cigarette case for SEVEN YEARS. It still closed completely but the plastic made to look like leather was literally falling off, so it was time for a new one. Cigarette cases for kings size cigs are not easy to come by these days I discovered, but I was thrilled to find this one on Amazon. It was a great price, REAL LEATHER, and even had the cool zipper pouch on the back. I was so excited to get my case and toss that other one! Well, within THREE DAYS one of the gold clasps literally broke off! I couldn't believe it! I tried to super glue it back on and was not successful. so, I still use the case but it doesn't close securely. I was very disappointed that my $3.00 plastic one lasted 7 years and this real nice leather one lasted 3 days!! But I still love the zipper pouch on the back, it's great for the spare key to my car because I will not go ANYWHERE without my cigarettes!",{'Color:': ' Black'},3,Top Clasp Broke Within 3 days!,M. Waltman,,TRUE
